,id,day,Class,max_acceleration,max_speed(mps),max_distance(m),max_bearing,min_speed(mps),min_distance(m),min_bearing,min_acceleration,mean_speed(mps),mean_distance,mean_bearing,mean_acceleration,median_speed,median_distance,median_bearing,median_acceleration,std_speed,std_distance,std_bearing,std_acceleration
0,10,2008-03-28,train,0.284428238237,0.656199822566,38.7157895314,357.37077251,0.0,0.0,0.0,-0.133486352224,0.0630937296228,3.7408199408,40.2438588207,0.00925658209382,0.0,0.0,0.0,0.0,0.160124613919,9.48573223299,90.8899053108,0.067925326608
1,10,2008-03-29,train,0.548432188905,1.49301327458,88.0877832005,281.401629841,0.0,0.0,0.0,-0.137604406527,0.379904748661,22.5219015441,133.632190355,0.0353763181162,0.119256529709,7.03613525281,149.107016095,0.0,0.507558517033,30.1091299636,133.519460124,0.139979371035
2,10,2008-03-30,train,0.543692273602,1.0873845472,65.2430728322,321.397161159,0.0,0.0,0.0,-0.129094217692,0.055993844999,3.32415354452,27.7372280146,0.0164148619226,0.0,0.0,0.0,0.0,0.210165838938,12.5028776277,87.2625409768,0.0889404258805
3,10,2008-04-01,train,0.185963616194,0.371927232388,28.2957552902,231.444336537,0.0,0.0,0.0,-0.0365642480816,0.0291296080355,2.39235533339,18.4637869048,0.0054553374359,0.0,0.0,0.0,0.0,0.0943430099446,7.62228767101,59.5128250413,0.0427672831986
4,10,2008-04-02,bus,3.65086003657,16.5131272011,83.4157756914,195.625801764,0.0,0.0,0.0,-3.53159297219,7.27062143322,28.5438591724,72.7412358682,0.0685226771024,7.12707912403,23.1643550953,84.6181302717,0.0757693932441,3.69559841795,22.2173461247,46.9771743248,0.921832296546
5,10,2008-04-02,taxi,1.91552620684,12.4833751362,14.8138117321,358.40185253,0.189866768796,0.333584779838,0.0,-2.81239625045,5.97029657097,6.17212403833,273.405201158,-0.0119587267162,5.45780865702,5.60757095867,255.47421283,0.00808087659183,3.64965446564,3.6916741644,60.8156280081,0.725835289229
6,10,2008-04-02,walk,1.62604882429,3.84802718964,23.0724447189,322.33498049,0.0,0.0,0.0,-2.19447528131,1.08353490511,1.38339580202,207.109645916,-0.0372232848047,1.05800792133,1.1119492666,217.6651568,-3.19156687724e-05,0.479230770734,1.88522304543,58.3220535465,0.414049047621
7,10,2008-04-03,taxi,1.93534697253,22.2775642719,22.2775642719,270.000000976,0.0,0.0,0.0,-2.40108657692,12.7992708111,12.7992708111,111.103322511,-0.0226791094704,13.4428301901,13.4428301901,104.005042717,0.0367019488519,5.3698689441,5.3698689441,39.7334572859,0.626745424982
8,10,2008-04-03,train,7.13662223632,41.2553535816,95.8693432265,359.797129772,0.0,0.0,0.0,-7.2329144688,19.9701811441,20.0332294698,111.129576461,1.04093612116e-05,19.683888125,19.7072465161,85.6874427444,-2.80331046376e-06,7.22388324774,7.38159941307,90.8935964664,0.492383127111
9,10,2008-04-04,taxi,6.10029797642,36.6149579592,79.5483268686,359.48857723,0.0,0.0,0.0,-3.62636224265,25.2925581552,25.3456560884,170.66771421,-0.00141424678868,27.4925225768,27.5061174534,167.432593719,0.0,8.32797698887,8.42322415775,102.088134727,0.423169002514
10,10,2008-04-04,train,4.14149615273,29.2197772864,99.4926942737,359.779909553,0.0,0.0,0.0,-7.12047089712,13.4885789149,14.2944767646,102.355799836,-0.00213999152534,13.5397963747,13.9239542199,79.4909437334,-2.45743306593e-07,4.95024740945,7.46870871741,79.9773267507,0.355418347498
11,10,2008-04-04,walk,7.23904275187,7.23904275187,29.768661848,354.444058798,0.0,0.0,0.0,-5.23096888925,1.34315382609,1.68889219402,169.823726598,-0.0521759054486,1.38161731121,1.45083423687,180.305744596,-0.0162373227364,0.840301962399,2.86290638744,148.61896758,0.993430839519
12,10,2008-04-05,train,0.926174776121,41.8846841165,99.8834046208,238.85011576,0.0,0.0,0.0,-0.413472118,5.34878241958,35.4076597707,62.514639482,0.0102728366873,2.15507109816,24.7350541783,75.4436617833,0.0,7.70051208214,36.6250231091,59.6633517706,0.134609007761
13,10,2008-04-06,bus,2.46736405299,7.49905637103,99.4166959096,359.286194408,0.0,0.0,0.0,-0.609830607557,2.3519438421,34.532608661,79.1883182841,0.0176304872329,1.61336074655,24.2004111983,81.0688930817,0.0,2.36908904866,34.5125070587,88.5368667101,0.430372355259
14,10,2008-04-06,train,0.929493605576,35.789488209,92.3778402279,344.235354849,0.0,0.0,0.0,-0.460072577301,3.96356612864,32.973431435,44.1168737284,-0.0154825657127,0.457051401995,27.8848081673,4.50305396671,0.0,8.05017066022,34.3700212808,72.1723778232,0.208992598242
15,10,2008-05-18,bus,7.8547712775,28.5958241682,56.7172140904,359.110419274,0.0,0.0,0.0,-6.64780625116,13.3924127727,14.5975335985,154.322272575,0.00975866923536,12.5812094118,13.2219969091,173.230971542,0.0134580252255,7.6163476446,9.25781049746,71.4694271647,0.767376105049
16,10,2008-05-19,bus,7.65053981098,40.6108890621,87.6816097599,359.795271021,0.0,0.0,0.0,-7.88124420936,22.3128175009,30.3718905242,239.996548472,-0.025219410863,25.8996997925,26.5979242717,291.283297243,0.00190828884797,7.38075195841,16.5902968681,122.819099875,0.636558819845
17,10,2008-06-13,walk,3.38689482134,4.83547254258,96.1701739044,357.662739905,0.0,0.0,0.0,-3.10897964949,1.31126975177,1.46007682707,318.830336662,0.000130306982442,1.21550617263,1.22641619028,325.686726947,-1.70346561856e-08,0.592570393074,3.29436258486,49.7891558429,0.446533549549
18,10,2008-06-15,train,7.96375396095,47.7058415067,95.5829923656,359.742741741,0.618936045667,0.618936045667,0.0,-7.89487886262,21.6865634082,23.5515743468,88.7922561237,-0.0226435321386,20.8685197398,23.3405263908,102.221867567,-9.69677962814e-06,7.7105038143,10.2992971065,55.378800868,0.838406786183
19,10,2008-06-16,bus,5.86524879056,22.9082434328,85.6244236878,359.112706898,0.0,0.0,0.0,-7.41890305366,8.19252035935,8.85108160946,189.520713722,0.00525849178632,5.34013418964,5.45140296136,195.294806848,0.00519929841837,6.08029034031,7.45762016693,73.9794845345,0.680481627939
20,10,2008-06-16,train,5.66812219463,32.4738196108,64.296023318,331.892380125,0.121399268796,0.545292746302,131.948859871,-7.61280190984,16.0668103158,17.2167613556,281.128238651,-0.0231470171184,15.4009883496,15.5933063753,285.7780841,-1.94177981392e-05,7.84316597112,9.80469886603,26.3797842936,0.651366930413
21,10,2008-06-16,walk,1.90327584908,4.10185806583,91.8775575961,355.073091043,0.0546345099933,0.205263372635,0.0,-1.98755208154,1.57451963495,1.71009191066,168.483219808,-0.00855573349415,1.65133511147,1.66985038935,197.262031151,-2.40775384075e-08,0.427416957696,2.36058793724,109.235434287,0.312516803765
22,10,2008-06-17,bus,7.32362042988,20.2462678254,29.6230880723,357.355492734,0.0,0.0,0.0,-7.57018069636,4.70806776157,5.31910729291,126.289219006,0.00621158299192,4.04640352708,4.42248994972,142.098006931,-8.84153861235e-11,3.56325813665,4.54895263628,65.6782876653,1.15917079199
23,10,2008-06-17,taxi,7.30466179875,16.2023376118,31.8224973581,359.430164522,0.444779706569,0.477064340998,0.0,-4.94334784187,8.45846474337,9.40308857584,251.380029206,0.000899372893443,8.41208733771,8.67363324343,315.636189275,-0.00971883600869,4.16230777622,5.54531320404,115.275567968,1.10411623503
24,10,2008-06-17,train,6.55725628439,47.5409380338,93.7916836521,279.831039807,0.122214616653,0.794464803016,68.0842078307,-7.07278187847,31.9250133657,35.6075647607,154.786433422,-0.000890330442298,40.8891314229,42.1933333425,138.101985655,-0.00966256284696,13.9132424458,19.0295236656,48.4823214108,0.712488402724
25,10,2008-06-17,walk,5.25789560196,6.3054309635,40.3860453194,355.073117629,0.0815879703422,0.222389854168,0.0,-4.15997074973,1.48361392089,1.86696824735,174.651344991,-0.0231479296501,1.36513963311,1.55310256575,112.587870772,-0.0137259652672,0.74712171657,2.24664005927,110.662059789,0.754499988511
26,10,2008-06-18,bus,6.96639387891,20.4090055544,72.1516728098,357.586578665,0.0,0.0,0.0,-7.92703389345,8.0828505774,9.1957165577,180.702138008,-0.0207913333247,8.71154251523,9.21931721143,178.026602569,0.00245022693542,4.28714025254,5.88560431248,80.6542744578,1.02691030257
27,10,2008-06-18,subway,7.86518723128,27.1405272407,75.1774992839,359.398689514,0.474768571845,0.819268128898,0.0,-7.6107886265,14.3247032775,16.5179658051,308.658318951,0.00179507823279,16.4572458999,16.9352001004,345.395384997,-0.0684142512749,5.00398019555,8.21445871044,106.33615438,1.32594368577
28,10,2008-06-18,taxi,7.49055823768,15.6366899832,29.5304885463,359.663352797,0.0,0.0,0.0,-4.25205442193,5.93384814024,6.68260402291,244.403965018,-0.0126960269818,5.02712318957,5.35552844077,325.434914567,0.0,4.66950232648,5.80671074007,135.750391811,0.917193477208
29,10,2008-06-18,train,6.88126920945,49.3704488991,71.8895267824,359.739508995,0.0,0.0,0.0,-6.45296973966,21.6193867961,24.0540586751,193.611071378,-0.00480581923067,24.938563279,25.7563656803,182.235860183,-3.26326665245e-06,9.38680238838,12.7918386051,80.0402000769,0.623194612526
